time,ax,ay,az,atotal
2022-08-11 17:53:54.2820,0.16,0.21,-0.34,0.43
2022-08-11 17:53:54.2920,0.26,0.27,-0.35,0.51
2022-08-11 17:53:54.3030,0.48,0.1,-0.18,0.52
2022-08-11 17:53:54.3170,0.6,0.06,-0.19,0.63
2022-08-11 17:53:54.3220,0.56,0.06,-0.16,0.58
2022-08-11 17:53:54.3330,0.55,-0.01,0.06,0.55
2022-08-11 17:53:54.3430,0.58,-0.08,0.39,0.7
2022-08-11 17:53:54.3520,0.5,-0.13,0.63,0.81
2022-08-11 17:53:54.3630,0.4,-0.16,0.59,0.73
2022-08-11 17:53:54.3720,0.33,-0.11,0.25,0.42
2022-08-11 17:53:54.3820,0.27,-0.02,-0.04,0.27
2022-08-11 17:53:54.3920,0.11,0.09,-0.32,0.35
2022-08-11 17:53:54.4030,0.05,0.11,-0.44,0.45
2022-08-11 17:53:54.4210,0.08,0.18,-0.24,0.31
2022-08-11 17:53:54.4260,-0.69,0.71,0.0,0.99
2022-08-11 17:53:54.4310,-0.91,0.73,0.02,1.16
2022-08-11 17:53:54.4420,-0.11,0.03,-0.07,0.13
2022-08-11 17:53:54.4520,0.16,-0.33,-0.25,0.44
2022-08-11 17:53:54.4610,0.22,-0.51,-0.41,0.69
2022-08-11 17:53:54.4720,0.28,-0.52,-0.37,0.69
2022-08-11 17:53:54.4830,0.09,-0.27,-0.64,0.7
2022-08-11 17:53:54.4910,0.0,-0.08,-0.83,0.83
2022-08-11 17:53:54.5010,0.54,-0.65,-0.42,0.94
2022-08-11 17:53:54.5240,0.51,-1.06,0.02,1.17
2022-08-11 17:53:54.5270,0.18,-0.68,-0.19,0.72
2022-08-11 17:53:54.5300,0.31,-0.42,-0.18,0.55
2022-08-11 17:53:54.5410,0.27,-0.38,-0.3,0.55
2022-08-11 17:53:54.5520,0.15,-0.42,-0.39,0.59
2022-08-11 17:53:54.5610,0.01,-0.4,-0.44,0.59
2022-08-11 17:53:54.5720,-0.08,-0.36,-0.49,0.61
2022-08-11 17:53:54.5800,0.01,-0.41,-0.57,0.7
2022-08-11 17:53:54.5910,0.13,-0.52,-0.77,0.93
2022-08-11 17:53:54.6000,0.25,-0.55,-1.06,1.22
2022-08-11 17:53:54.6230,0.38,-0.66,-1.19,1.41
2022-08-11 17:53:54.6260,0.19,-0.81,-0.73,1.1
2022-08-11 17:53:54.6310,-0.62,-0.33,0.37,0.79
2022-08-11 17:53:54.6400,0.24,0.45,-0.49,0.7
2022-08-11 17:53:54.6500,-0.43,0.44,-0.44,0.75
2022-08-11 17:53:54.6610,-0.59,0.31,-0.7,0.96
2022-08-11 17:53:54.6700,-0.45,0.33,-0.93,1.08
2022-08-11 17:53:54.6810,-0.28,0.34,-0.74,0.86
2022-08-11 17:53:54.6900,-0.5,0.33,-0.2,0.63
2022-08-11 17:53:54.7000,-0.74,0.38,0.22,0.86
2022-08-11 17:53:54.7100,-0.6,0.45,0.38,0.84
2022-08-11 17:53:54.7250,-0.26,0.34,0.15,0.45
2022-08-11 17:53:54.7300,0.0,0.14,-0.22,0.26
2022-08-11 17:53:54.7400,0.08,-0.05,-0.37,0.38
2022-08-11 17:53:54.7510,0.13,-0.08,-0.53,0.55
2022-08-11 17:53:54.7590,0.37,-0.19,-0.65,0.77
2022-08-11 17:53:54.7710,0.47,-0.54,-0.5,0.87
2022-08-11 17:53:54.7790,0.55,-0.77,-0.2,0.96
2022-08-11 17:53:54.7910,0.74,-0.85,-0.03,1.12
2022-08-11 17:53:54.7990,1.07,-0.93,-0.31,1.45
2022-08-11 17:53:54.8100,1.1,-0.89,-0.37,1.46
2022-08-11 17:53:54.8260,0.7,-0.44,0.12,0.83
2022-08-11 17:53:54.8280,0.25,-0.01,0.22,0.33
2022-08-11 17:53:54.8390,-0.12,0.3,-0.04,0.32
2022-08-11 17:53:54.8490,-0.34,0.56,-0.14,0.66
2022-08-11 17:53:54.8580,-0.35,0.61,-0.14,0.71
2022-08-11 17:53:54.8700,0.19,0.31,-0.47,0.59
2022-08-11 17:53:54.8790,0.41,0.06,-0.62,0.74
2022-08-11 17:53:54.8880,0.27,-0.2,-0.22,0.4
2022-08-11 17:53:54.8990,0.25,-0.46,0.26,0.58
2022-08-11 17:53:54.9090,0.56,-0.49,0.18,0.76
2022-08-11 17:53:54.9220,0.84,-0.38,-0.13,0.93
2022-08-11 17:53:54.9280,0.94,-0.35,-0.59,1.16
2022-08-11 17:53:54.9380,0.59,-0.24,-0.63,0.89
2022-08-11 17:53:54.9480,0.24,-0.01,-0.51,0.56
2022-08-11 17:53:54.9590,0.21,0.12,-0.37,0.44
2022-08-11 17:53:54.9680,0.2,0.17,-0.39,0.47
2022-08-11 17:53:54.9780,0.03,0.28,-0.23,0.36
2022-08-11 17:53:54.9870,-0.02,0.28,-0.15,0.31
2022-08-11 17:53:54.9970,0.14,0.24,-0.09,0.29
2022-08-11 17:53:55.0080,0.36,0.18,-0.14,0.42
2022-08-11 17:53:55.0220,0.45,0.06,-0.47,0.65
2022-08-11 17:53:55.0270,0.34,0.13,-0.37,0.51
2022-08-11 17:53:55.0380,0.01,-0.07,-0.52,0.52
2022-08-11 17:53:55.0490,-0.35,-0.55,-0.76,1.0
2022-08-11 17:53:55.0580,-0.69,-0.31,-1.27,1.47
2022-08-11 17:53:55.0680,-0.3,0.45,-2.45,2.5
2022-08-11 17:53:55.0770,1.22,0.65,-2.9,3.21
2022-08-11 17:53:55.0870,1.74,0.51,-2.92,3.43
2022-08-11 17:53:55.0970,1.11,0.73,-2.62,2.93
2022-08-11 17:53:55.1070,0.65,0.79,-1.93,2.18
2022-08-11 17:53:55.1270,0.31,0.73,-1.52,1.71
2022-08-11 17:53:55.1300,0.14,0.51,-1.27,1.37
