time,ax,ay,az,atotal
2022-08-11 17:49:32.7190,0.17,-0.42,-0.12,0.46
2022-08-11 17:49:32.7200,0.15,-0.33,-0.28,0.45
2022-08-11 17:49:32.7260,0.09,-0.02,-0.17,0.19
2022-08-11 17:49:32.7470,-0.04,0.18,0.14,0.23
2022-08-11 17:49:32.7480,-0.17,0.21,0.41,0.49
2022-08-11 17:49:32.7560,-0.28,0.16,0.52,0.61
2022-08-11 17:49:32.7660,-0.32,0.08,0.51,0.6
2022-08-11 17:49:32.7770,-0.3,-0.03,0.35,0.46
2022-08-11 17:49:32.7860,-0.29,-0.14,0.13,0.34
2022-08-11 17:49:32.7970,-0.25,-0.27,-0.08,0.37
2022-08-11 17:49:32.8060,-0.19,-0.33,-0.15,0.4
2022-08-11 17:49:32.8160,-0.21,-0.39,-0.15,0.46
2022-08-11 17:49:32.8260,-0.29,-0.46,-0.19,0.57
2022-08-11 17:49:32.8410,-0.35,-0.49,-0.26,0.65
2022-08-11 17:49:32.8460,-0.31,-0.54,-0.39,0.73
2022-08-11 17:49:32.8560,-0.3,-0.58,-0.52,0.83
2022-08-11 17:49:32.8650,-0.25,-0.63,-0.68,0.96
2022-08-11 17:49:32.8750,-0.16,-0.73,-0.91,1.17
2022-08-11 17:49:32.8850,-0.15,-0.89,-1.08,1.4
2022-08-11 17:49:32.8960,-0.22,-1.09,-1.26,1.68
2022-08-11 17:49:32.9060,-0.2,-1.13,-1.51,1.89
2022-08-11 17:49:32.9160,-0.34,-1.08,-1.8,2.12
2022-08-11 17:49:32.9250,-0.57,-0.82,-2.03,2.26
2022-08-11 17:49:32.9420,-0.69,-0.51,-2.1,2.26
2022-08-11 17:49:32.9440,-0.76,-0.32,-2.16,2.31
2022-08-11 17:49:32.9560,-0.75,-0.3,-2.22,2.36
2022-08-11 17:49:32.9650,-0.68,-0.38,-2.3,2.42
2022-08-11 17:49:32.9740,-0.55,-0.49,-2.39,2.5
2022-08-11 17:49:32.9840,-0.39,-0.61,-2.44,2.54
2022-08-11 17:49:32.9940,-0.28,-0.65,-2.48,2.57
2022-08-11 17:49:33.0050,-0.3,-0.6,-2.37,2.46
2022-08-11 17:49:33.0150,-0.47,-0.56,-2.23,2.34
2022-08-11 17:49:33.0240,-0.74,-0.6,-2.05,2.26
2022-08-11 17:49:33.0410,-2.02,-0.66,-0.06,2.12
2022-08-11 17:49:33.0440,-2.11,-0.37,1.65,2.7
2022-08-11 17:49:33.0540,-1.18,0.27,0.74,1.41
2022-08-11 17:49:33.0640,-0.79,0.03,0.46,0.91
2022-08-11 17:49:33.0750,-1.37,-0.5,0.46,1.52
2022-08-11 17:49:33.0830,-1.35,-0.3,0.43,1.44
2022-08-11 17:49:33.0940,-1.19,-0.21,1.04,1.59
2022-08-11 17:49:33.1030,-0.76,-0.39,0.99,1.3
2022-08-11 17:49:33.1130,-0.51,-0.58,0.56,0.95
2022-08-11 17:49:33.1240,-0.45,-0.48,-0.12,0.66
2022-08-11 17:49:33.1420,-0.14,0.0,-0.73,0.74
2022-08-11 17:49:33.1460,0.11,0.46,-0.62,0.77
2022-08-11 17:49:33.1540,0.37,0.27,-0.72,0.85
2022-08-11 17:49:33.1630,0.33,-1.46,-1.18,1.9
2022-08-11 17:49:33.1730,0.0,-1.41,0.22,1.42
2022-08-11 17:49:33.1840,-0.04,0.45,0.69,0.82
2022-08-11 17:49:33.1930,-0.02,1.78,0.74,1.92
2022-08-11 17:49:33.2030,-0.08,0.99,-0.1,0.99
2022-08-11 17:49:33.2130,0.27,0.05,-0.1,0.29
2022-08-11 17:49:33.2240,0.26,-0.19,0.07,0.32
2022-08-11 17:49:33.2420,0.34,0.07,-0.46,0.57
2022-08-11 17:49:33.2460,0.5,0.53,-0.81,1.08
2022-08-11 17:49:33.2520,0.61,0.72,-1.56,1.82
2022-08-11 17:49:33.2630,0.35,0.65,-2.51,2.61
2022-08-11 17:49:33.2720,0.14,0.25,-2.7,2.71
2022-08-11 17:49:33.2830,1.48,0.72,-1.84,2.46
2022-08-11 17:49:33.2930,1.41,1.81,-1.08,2.53
2022-08-11 17:49:33.3030,1.17,1.01,-1.85,2.41
2022-08-11 17:49:33.3120,1.11,1.78,-1.95,2.86
2022-08-11 17:49:33.3220,0.35,1.84,-0.98,2.11
2022-08-11 17:49:33.3310,0.07,1.38,-0.6,1.5
2022-08-11 17:49:33.3450,-0.15,0.84,-0.26,0.89
2022-08-11 17:49:33.3550,-0.27,0.64,0.12,0.7
2022-08-11 17:49:33.3620,-0.19,0.44,0.21,0.52
2022-08-11 17:49:33.3710,-0.09,0.39,0.11,0.41
2022-08-11 17:49:33.3820,-0.07,0.16,-0.04,0.17
2022-08-11 17:49:33.3920,-0.07,-0.34,-0.18,0.39
2022-08-11 17:49:33.4020,-0.17,-0.53,-0.08,0.56
2022-08-11 17:49:33.4110,-0.14,-0.52,0.1,0.54
2022-08-11 17:49:33.4220,0.08,-0.55,0.2,0.59
2022-08-11 17:49:33.4320,0.43,-0.61,0.23,0.78
2022-08-11 17:49:33.4440,0.82,-0.59,0.48,1.11
2022-08-11 17:49:33.4500,1.04,-0.59,0.65,1.36
2022-08-11 17:49:33.4620,0.97,-0.75,0.89,1.51
2022-08-11 17:49:33.4710,0.84,-1.34,0.98,1.86
2022-08-11 17:49:33.4810,0.61,-1.81,1.09,2.19
2022-08-11 17:49:33.4900,0.43,-2.04,1.26,2.43
2022-08-11 17:49:33.5000,0.27,-2.33,1.55,2.81
2022-08-11 17:49:33.5100,0.29,-2.6,1.85,3.2
2022-08-11 17:49:33.5210,0.38,-2.37,2.21,3.26
2022-08-11 17:49:33.5300,0.61,-2.08,2.38,3.21
2022-08-11 17:49:33.5450,0.86,-1.59,2.44,3.03
2022-08-11 17:49:33.5500,0.91,-0.88,2.55,2.84
2022-08-11 17:49:33.5610,0.7,-0.84,2.44,2.67
2022-08-11 17:49:33.5710,0.33,-1.29,2.46,2.79
2022-08-11 17:49:33.5810,-0.11,-1.36,2.67,2.99
2022-08-11 17:49:33.5910,-0.29,-1.34,2.92,3.22
2022-08-11 17:49:33.6000,-0.34,-0.91,3.19,3.33
2022-08-11 17:49:33.6090,-0.3,-0.56,3.09,3.15
2022-08-11 17:49:33.6210,-0.14,-0.61,2.63,2.7
2022-08-11 17:49:33.6290,-0.2,-0.66,2.47,2.56
2022-08-11 17:49:33.6440,-0.42,-0.6,2.6,2.7
2022-08-11 17:49:33.6500,-0.59,-0.3,2.59,2.67
2022-08-11 17:49:33.6590,-0.4,-0.15,2.34,2.37
2022-08-11 17:49:33.6700,-0.13,0.12,2.25,2.25
2022-08-11 17:49:33.6790,0.19,0.44,2.21,2.26
2022-08-11 17:49:33.6900,0.52,0.75,2.05,2.24
2022-08-11 17:49:33.6990,0.54,1.04,1.94,2.26
2022-08-11 17:49:33.7090,0.39,1.12,1.86,2.2
2022-08-11 17:49:33.7200,0.04,1.04,1.69,1.98
2022-08-11 17:49:33.7280,-0.12,0.68,1.5,1.65
2022-08-11 17:49:33.7460,-0.14,0.85,1.61,1.82
2022-08-11 17:49:33.7500,0.22,0.98,1.55,1.84
2022-08-11 17:49:33.7580,0.86,1.2,1.47,2.08
2022-08-11 17:49:33.7690,1.33,1.72,1.41,2.59
2022-08-11 17:49:33.7790,1.69,1.83,1.21,2.76
2022-08-11 17:49:33.7880,1.74,1.6,0.98,2.55
2022-08-11 17:49:33.7980,1.43,1.06,0.78,1.94
2022-08-11 17:49:33.8090,1.08,0.04,0.57,1.22
2022-08-11 17:49:33.8190,1.04,-0.35,0.54,1.22
2022-08-11 17:49:33.8280,1.38,0.12,0.62,1.51
2022-08-11 17:49:33.8450,1.81,0.72,0.51,2.01
